lon,lat,name,province
-61.104470,-34.424489, "Saforcada", "Buenos Aires"
-60.356634,-35.112238, "Ortiz de Rosas", "Buenos Aires"
-61.278281,-34.192064, "Delgado", "Buenos Aires"
-61.695429,-33.846689, "Santa Isabel", "Santa Fe"
