ensoDesc,y2,ensoVar,y2,JJA,JAS,ASO,SON,OND,NDJ,DJF,JFM,FMA,MAM,AMJ,MJJ
SL,1999,-1.5,2000,-1.1,-1.1,-1.2,-1.3,-1.5,-1.7,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6
WL,2000,-0.5,2001,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1
,2001,0,2002,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3,-0.1,0,0.1,0.2,0.4,0.7
ME,2002,1,2003,0.8,0.9,1,1.2,1.3,1.1,0.9,0.6,0.4,0,-0.3,-0.2
,2003,0,2004,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.3
WE,2004,0.5,2005,0.5,0.6,0.7,0.7,0.7,0.7,0.6,0.6,0.4,0.4,0.3,0.1
WL,2005,-0.5,2006,-0.1,-0.1,-0.1,-0.3,-0.6,-0.8,-0.8,-0.7,-0.5,-0.3,0,0
WE,2006,0.5,2007,0.1,0.3,0.5,0.7,0.9,0.9,0.7,0.3,0,-0.2,-0.3,-0.4
SL,2007,-1.5,2008,-0.5,-0.8,-1.1,-1.4,-1.5,-1.6,-1.6,-1.4,-1.2,-0.9,-0.8,-0.5
WL,2008,-0.5,2009,-0.4,-0.3,-0.3,-0.4,-0.6,-0.7,-0.8,-0.7,-0.5,-0.2,0.1,0.4
ME,2009,1,2010,0.5,0.5,0.7,1,1.3,1.6,1.5,1.3,0.9,0.4,-0.1,-0.6
SL,2010,-1.5,2011,-1,-1.4,-1.6,-1.7,-1.7,-1.6,-1.4,-1.1,-0.8,-0.6,-0.5,-0.4
ML,2011,-1,2012,-0.5,-0.7,-0.9,-1.1,-1.1,-1,-0.8,-0.6,-0.5,-0.4,-0.2,0.1
,2012,0,2013,0.3,0.3,0.3,0.2,0,-0.2,-0.4,-0.3,-0.2,-0.2,-0.3,-0.3
,2013,0,2014,-0.4,-0.4,-0.3,-0.2,-0.2,-0.3,-0.4,-0.4,-0.2,0.1,0.3,0.2
WE,2014,0.5,2015,0.1,0,0.2,0.4,0.6,0.7,0.6,0.6,0.6,0.8,1,1.2
VSE,2015,2,2016,1.5,1.8,2.1,2.4,2.5,2.6,2.5,2.2,1.7,1,0.5,0
WL,2016,-0.5,2017,-0.3,-0.6,-0.7,-0.7,-0.7,-0.6,-0.3,-0.1,0.1,0.3,0.4,0.4
WL,2017,-0.5,2018,0.2,-0.1,-0.4,-0.7,-0.9,-1,-0.9,-0.8,-0.6,-0.4,-0.1,0.1
